,Text,Dep,Head,Child
82402,Бродяга,nsubj,смотрит,[]
82432,Бродяга,nsubj,пригласил,[]
82523,Бродяга,nsubj,продолжал,[]
82619,Бродяга,nsubj,стал,[]
82821,Бродяга,nsubj,шепнул,[]
83823,Бродяга,nsubj,сидел,[]
83949,Бродяга,nsubj,спросил,[]
84023,Бродяга,nsubj,возразил,[]
84067,Бродяга,nsubj,назвал,[]
84087,Бродяга,nsubj,ответил,[]
84912,Бродяга,nsubj,зашел,[]
85000,Бродяга,nsubj,ответил,[]
85100,Бродяга,nsubj,улыбнулся,[]
85175,Бродяга,nsubj,воскликнул,[]
85284,Бродяга,nsubj,ответил,[]
85544,Бродяга,nsubj,рассмеялся,[]
85776,Бродяга,nsubj,согласился,[]
85840,Бродяга,nsubj,усмехнулся,[]
85893,Бродяга,nsubj,покачал,[]
85972,Бродяга,nsubj,оборвал,[]
86172,Бродяга,nsubj,ответил,[]
86395,Бродяга,nsubj,сидел,[]
86477,Бродяга,nsubj,проведет,[]
86544,Бродяга,nsubj,говорит,[Этот]
86655,Бродяга,nsubj,ответил,[]
86764,Бродяга,nsubj,усмехнулся,[]
86854,Бродяга,nsubj,отступил,[]
86867,Бродяга,nsubj,усмехнулся,[]
86957,Бродяга,nsubj,отступил,[]
88133,Бродяга,nsubj,спросил,[]
88336,Бродяга,nsubj,сказал,[]
88440,Бродяга,nsubj,закончил,[]
88816,Бродяга,nsubj,спросил,[]
89201,Бродяга,nsubj,сказал,[]
89481,Бродяга,nsubj,покачал,[]
89613,Бродяга,nsubj,ответил,[]
89831,Бродяга,nsubj,рассмеялся,[]
89970,Бродяга,nsubj,продолжал,[]
89979,Бродяга,nsubj,проводник,[–]
90806,Бродяга,nsubj,посмотрел,[]
91328,Бродяга,nsubj,молвил,[]
91418,Бродяга,nsubj,сказал,[]
91636,Бродяга,nsubj,пошел,[]
91670,Бродяга,nsubj,вернулись.–Значит,[Ноб]
91758,Бродяга,nsubj,сказал,[]
91852,Бродяга,nsubj,подкинул,[]
91873,Бродяга,nsubj,стал,[]
92642,Бродяга,nsubj,пошевелился,[]
92702,Бродяга,nsubj,откинул,[]
92726,Бродяга,nsubj,отправился,[]
92787,Бродяга,nsubj,послал,[]
92878,Бродяга,nsubj,посулил,[]
93050,Бродяга,nsubj,молчал,[]
93367,Бродяга,nsubj,согласился,[]
93573,Бродяга,nsubj,сказал,[]
94190,Бродяга,nsubj,присоединился,[]
94258,Бродяга,nsubj,передумал,[]
94978,Бродяга,nsubj,улыбнулся,[]
95155,Бродяга,nsubj,находил,[]
95295,Бродяга,nsubj,мастер,[]
95806,Бродяга,nsubj,ответил,[]
95931,Бродяга,nsubj,показал,[]
96228,Бродяга,nsubj,начал,[]
96412,Бродяга,nsubj,спал,[]
96571,Бродяга,nsubj,остановил,[]
96846,Бродяга,nsubj,ответил,[]
97003,Бродяга,nsubj,ответил,[]
97176,Бродяга,nsubj,возразил,[]
97281,Бродяга,nsubj,остановил,[]
97460,Бродяга,nsubj,предсказывал,[]
97530,Бродяга,nsubj,увидели,[хоббиты]
97678,Бродяга,nsubj,сказал,[]
97742,Бродяга,nsubj,изучил,[]
97821,Арагорн,nsubj,предположил,[]
97902,Бродяга,nsubj,ответил,[]
98029,Бродяга,nsubj,сказал,[]
98165,Бродяга,nsubj,отозвался,[]
98302,Бродяга,nsubj,сказал,[]
98464,Бродяга,nsubj,ответил,[]
98558,Бродяга,nsubj,подтвердил,[зорче]
98861,Бродяга,nsubj,снимется,[]
98938,Бродяга,nsubj,отозвался,[]
99119,Бродяга,nsubj,вздохнул,[]
99346,Бродяга,nsubj,перешел,[]
99388,Бродяга,nsubj,положил,[]
99728,Бродяга,nsubj,сказал,[]
99846,Бродяга,nsubj,довольствовался,[]
99868,Бродяга,nsubj,начал,[]
99930,Бродяга,nsubj,закончил,[]
99954,Бродяга,nsubj,ответил,[]
99989,Бродяга,nsubj,закончил,[]
100013,Бродяга,nsubj,ответил,[]
100100,Бродяга,nsubj,перебил,[]
100186,Бродяга,nsubj,согласился,[]
100646,Бродяга,nsubj,вздохнул,[]
101146,Бродяга,nsubj,рассказывал,[]
101281,Бродяга,nsubj,вглядывался,[]
101470,Бродяга,nsubj,крикнул,[]
102336,Бродяга,nsubj,приказал,[]
