,Text,Dep,Head,Child
67,Бильбо,nsubj,написал,"[сам, хоббит]"
5891,Бильбо,nsubj,углядел,[Даже]
5957,Бильбо,nsubj,вернулся,[]
5980,Бильбо,nsubj,открывал,[]
5999,Бильбо,nsubj,хранил,[]
6079,Бильбо,nsubj,отправился,[]
6216,Бильбо,nsubj,заблудился,[]
6233,Бильбо,nsubj,наткнулся,[]
6270,Бильбо,nsubj,дошел,[]
6553,Бильбо,nsubj,сможет,[]
6568,Бильбо,nsubj,победит,[]
6583,Бильбо,nsubj,заблудился,[]
6617,Бильбо,nsubj,вышел,[]
6747,Бильбо,nsubj,настаивал,[]
6841,Бильбо,nsubj,имел,"[,, кстати, острове]"
6991,Бильбо,nsubj,заметил,[]
7055,Бильбо,nsubj,последовал,[]
7148,Бильбо,nsubj,поборол,[]
7180,Бильбо,nsubj,оставил,[]
7207,Бильбо,nsubj,разбежался,[]
7263,Бильбо,nsubj,поведал,[]
7319,Бильбо,nsubj,догадался,[]
7375,Бильбо,nsubj,изложил,[]
7554,Бильбо,nsubj,поведал,[честный]
7587,Бильбо,nsubj,признался,[]
7733,Бильбо,nsubj,поведал,[честный]
7766,Бильбо,nsubj,признался,[]
7889,Бильбо,nsubj,обмолвился,[никому]
7920,Бильбо,nsubj,полагал,[]
7937,Бильбо,nsubj,повесил,[–]
7981,Бильбо,nsubj,хранил,[]
8009,Бильбо,nsubj,вернулся,[]
8323,Бильбо,nsubj,подарил,[]
8608,Бильбо,nsubj,сохранились,"[выполненные, Переводы]"
8633,Бильбо,nsubj,работал,[]
9387,Бильбо,nsubj,стукнуло,[]
9443,Бильбо,nsubj,сказал,[]
9521,Бильбо,nsubj,исполнялось,[]
9580,Бильбо,nsubj,оказались,[похождения]
9741,Бильбо,nsubj,обращался,[]
10730,Бильбо,nsubj,оформляет,[и]
11786,Бильбо,nsubj,оделил,[]
11881,Бильбо,nsubj,расположились,[Гэндальфом]
11939,Бильбо,nsubj,согласился,[]
11961,Бильбо,nsubj,нужен,[старому]
12052,Бильбо,nsubj,сказал,[]
12604,Бильбо,nsubj,встречал,[]
12686,Бильбо,nsubj,делал,[]
12789,Бильбо,nsubj,заказал,[]
13296,Бильбо,nsubj,провозгласил,[]
13532,Бильбо,nsubj,Пригласил,"[Саквилль, -, Бэггинсов]"
13581,Бильбо,nsubj,братец,[–]
13640,Бильбо,nsubj,норовил,[]
13770,Бильбо,nsubj,опустошил,[]
13871,Бильбо,nsubj,начал,[]
13895,Бильбо,nsubj,выбрался,[]
14030,Бильбо,nsubj,начал,[]
14054,Бильбо,nsubj,выбрался,[]
14181,Бильбо,nsubj,повторил,[]
14467,Бильбо,nsubj,выговорился,[]
14497,Бильбо,nsubj,крикнул,[]
14991,Бильбо,nsubj,стал,[]
15108,Бильбо,nsubj,было,[]
15199,Бильбо,nsubj,было,[]
15748,Бильбо,nsubj,держал,[]
15861,Бильбо,nsubj,опустил,[]
15908,Бильбо,nsubj,обернулся,[]
15965,Бильбо,nsubj,заулыбался,[]
16036,Бильбо,nsubj,рассмеялся,[]
16590,Бильбо,nsubj,вспыхнул,[]
16901,Бильбо,nsubj,понадобится,"[,]"
17162,Бильбо,nsubj,закричал,[]
17256,Бильбо,nsubj,отшатнулся,[]
17424,Бильбо,nsubj,провел,[]
17613,Бильбо,nsubj,стоял,[]
17726,Бильбо,nsubj,решился,[]
17803,Бильбо,nsubj,вскричал,[]
17856,Бильбо,nsubj,вынул,[]
17883,Бильбо,nsubj,успел,[]
17914,Бильбо,nsubj,рассмеялся.–Ну,[]
17944,Бильбо,nsubj,рассмеялся.–Ну,[]
17961,Бильбо,nsubj,выбрал,[]
17989,Бильбо,nsubj,спросил,[]
18017,Бильбо,nsubj,поднял,[]
18126,Бильбо,nsubj,замурлыкал,[]
18830,Бильбо,nsubj,оставил,[]
19090,Бильбо,nsubj,подозревал,[]
19136,Бильбо,nsubj,намекает,[]
19162,Бильбо,nsubj,накопилась,[]
19389,Бильбо,nsubj,даровал,[]
19458,Бильбо,nsubj,завещал,[]
21415,Бильбо,nsubj,был,"[так, -]"
21646,Бильбо,nsubj,жив,[]
23383,Бильбо,nsubj,был,[]
23856,Бильбо,nsubj,выбежал,[]
24552,Бильбо,nsubj,нимало,[]
24697,Бильбо,nsubj,нашел,[]
24841,Бильбо,nsubj,лгали,"[И, Голлум]"
25137,Бильбо,nsubj,благоденствовал,[]
25502,Бильбо,nsubj,ушел,[]
28557,Бильбо,nsubj,встретился,[]
29298,Бильбо,nsubj,единственный,[]
30148,Бильбо,nsubj,обругал,[]
30266,Бильбо,nsubj,выведал,[родом.–Но]
30282,Бильбо,nsubj,открыл,[]
30679,Бильбо,nsubj,вернулся,[]
30997,Бильбо,nsubj,ушел,[]
31626,Бильбо,nsubj,убил,[]
31669,Бильбо,nsubj,отделался,[]
31988,Бильбо,nsubj,смог,[]
33911,Бильбо,nsubj,ошибся,[]
35039,Бильбо,nsubj,исполнялось,[]
35314,Бильбо,nsubj,ездил,[]
39617,Бильбо,nsubj,вспомнился,[просто]
40349,Бильбо,nsubj,пользовался,[]
41554,Бильбо,nsubj,сочинил,[Бэггинс]
42427,Бильбо,nsubj,ушел,[]
43243,Бильбо,nsubj,оказался,[]
53247,Бильбо,nsubj,принадлежали,[еще]
55213,Бильбо,nsubj,ушел,[еще]
55311,Бильбо,nsubj,погубил,[]
55353,Бильбо,nsubj,вышагивает,[]
55375,Бильбо,nsubj,приостановился,[этак]
55445,Бильбо,nsubj,возникает,[]
73438,Бильбо,nsubj,считал,[Гэндальф]
83183,Бильбо,nsubj,обожал,[которой]
97206,Бильбо,nsubj,перевел,[]
104716,Бильбо,nsubj,пережил,[]
107021,Бильбо,nsubj,упускали,[Фродо]
107991,Бильбо,nsubj,догадался,[]
108031,Бильбо,nsubj,роздал,[]
114997,Бильбо,nsubj,проговорил,"[Дорогой, !]"
117022,Бильбо,nsubj,решился,[]
118280,Бильбо,nsubj,отозвался,[]
118607,Бильбо,nsubj,нечего,[]
118650,Бильбо,nsubj,повествовал,[]
119087,Бильбо,nsubj,сдавался,[]
119121,Бильбо,nsubj,подставил,[]
119196,Бильбо,nsubj,глянул,[]
119319,Бильбо,nsubj,улыбался,[]
119415,Бильбо,nsubj,поднял,[]
119448,Бильбо,nsubj,удивился,[]
119515,Бильбо,nsubj,поправил,[]
119609,Бильбо,nsubj,удивился,[]
119676,Бильбо,nsubj,поправил,[]
119808,Бильбо,nsubj,отозвался,[]
120831,Бильбо,nsubj,встал,[]
120904,Бильбо,nsubj,вскричал,[]
120940,Бильбо,nsubj,разгорячился,[]
121016,Бильбо,nsubj,махнул,[]
121118,Бильбо,nsubj,заявил,[]
121287,Бильбо,nsubj,посочувствовал,[]
121589,Бильбо,nsubj,пояснил,[]
121743,Бильбо,nsubj,всполохнулся,[]
121792,Бильбо,nsubj,рассмеялся,[]
121986,Бильбо,nsubj,помахал,[]
122197,Бильбо,nsubj,всполохнулся,[]
122246,Бильбо,nsubj,рассмеялся,[]
122440,Бильбо,nsubj,помахал,[]
127155,Бильбо,nsubj,ерзает,[сидевший]
127180,Бильбо,nsubj,выпалил,[]
128021,Бильбо,nsubj,обеспокоился,[]
128100,Бильбо,nsubj,кивнул,[]
128126,Бильбо,nsubj,покосился,[]
128195,Бильбо,nsubj,новинку,[]
128369,Бильбо,nsubj,толкнул,[]
129027,Бильбо,nsubj,нашел,[]
130976,Бильбо,nsubj,поведал,[]
137554,Бильбо,nsubj,исключение,[–]
141661,Бильбо,nsubj,объяснил,[]
141765,Бильбо,nsubj,махнул,[]
141929,Бильбо,nsubj,сказал,[]
142375,Бильбо,nsubj,рассердился,[]
144115,Бильбо,nsubj,читал,[]
144268,Бильбо,nsubj,объявил,[]
144306,Бильбо,nsubj,остановил,[его]
144391,Бильбо,nsubj,спросил,[]
144502,Бильбо,nsubj,сказал,[]
144573,Бильбо,nsubj,облачил,[]
144605,Бильбо,nsubj,сказал,[]
144652,Бильбо,nsubj,Спасибо,"[,]"
145389,Бильбо,nsubj,советовал,[]
145652,Бильбо,nsubj,стоял,[закутанный]
146189,Бильбо,nsubj,крикнул,[]
146347,Бильбо,nsubj,крикнул,[]
164162,Бильбо,nsubj,знал,[]
204118,Бильбо,nsubj,покинул,[]
235310,Бильбо,nsubj,врет,[]
318550,Бильбо,nsubj,убил,[]
511740,Бильбо,nsubj,заждался,"[,, и, нас]"
519893,Бильбо,nsubj,сидел,[]
