Text,Head
Арагорн,смотрит
Арагорн,пригласил
Арагорн,продолжал
Арагорн,стал
Арагорн,шепнул
Арагорн,сидел
Арагорн,спросил
Арагорн,возразил
Арагорн,назвал
Арагорн,ответил
Арагорн,зашел
Арагорн,ответил
Арагорн,улыбнулся
Арагорн,воскликнул
Арагорн,ответил
Арагорн,рассмеялся
Арагорн,согласился
Арагорн,усмехнулся
Арагорн,покачал
Арагорн,оборвал
Арагорн,ответил
Арагорн,сидел
Арагорн,проведет
Арагорн,говорит
Арагорн,ответил
Арагорн,усмехнулся
Арагорн,отступил
Арагорн,усмехнулся
Арагорн,отступил
Арагорн,спросил
Арагорн,сказал
Арагорн,закончил
Арагорн,спросил
Арагорн,сказал
Арагорн,покачал
Арагорн,ответил
Арагорн,рассмеялся
Арагорн,продолжал
Арагорн,посмотрел
Арагорн,молвил
Арагорн,сказал
Арагорн,пошел
Арагорн,сказал
Арагорн,подкинул
Арагорн,стал
Арагорн,пошевелился
Арагорн,откинул
Арагорн,отправился
Арагорн,послал
Арагорн,посулил
Арагорн,молчал
Арагорн,согласился
Арагорн,сказал
Арагорн,присоединился
Арагорн,передумал
Арагорн,улыбнулся
Арагорн,находил
Арагорн,ответил
Арагорн,показал
Арагорн,начал
Арагорн,спал
Арагорн,остановил
Арагорн,ответил
Арагорн,возразил
Арагорн,остановил
Арагорн,предсказывал
Арагорн,увидел
Арагорн,сказал
Арагорн,изучил
Арагорн,предположил
Арагорн,ответил
Арагорн,сказал
Арагорн,отозвался
Арагорн,сказал
Арагорн,ответил
Арагорн,подтвердил
Арагорн,снимется
Арагорн,отозвался
Арагорн,вздохнул
Арагорн,перешел
Арагорн,положил
Арагорн,сказал
Арагорн,довольствовался
Арагорн,начал
Арагорн,закончил
Арагорн,ответил
Арагорн,перебил
Арагорн,согласился
Арагорн,вздохнул
Арагорн,рассказывал
Арагорн,вглядывался
Арагорн,крикнул
Арагорн,приказал
Арагорн,вынырнул
Арагорн,опустился
Арагорн,вынырнул
Арагорн,опустился
Арагорн,поглядел
Арагорн,утешил
Арагорн,сказал
Арагорн,уставал
Арагорн,намеревался
Арагорн,выглядел
Арагорн,взял
Арагорн,объявил
Арагорн,определил
Арагорн,велел
Арагорн,свернул
Арагорн,разуверил
Арагорн,ответил
Арагорн,кивнул
Арагорн,выглядел
Арагорн,отправился
Арагорн,ответил
Арагорн,покачал
Арагорн,взял
Арагорн,знал
Арагорн,налег
Арагорн,заглянул
Арагорн,возразил
Арагорн,шел
Арагорн,решил
Арагорн,упрекнул
Арагорн,показал
Арагорн,бросился
Арагорн,рассказал
Арагорн,устал
Арагорн,имеет
Арагорн,разъяснил
Арагорн,глядел
Арагорн,настоял
Арагорн,сидел
Арагорн,молвил
Арагорн,остановил
Арагорн,возразил
Арагорн,вставил
Арагорн,побывал
Арагорн,прошел
Арагорн,молвил
Арагорн,ответил
Арагорн,вскричал
Арагорн,вставил
Арагорн,возразил
Арагорн,молвил
Арагорн,ушел
Арагорн,войдет
Арагорн,отозвался
Арагорн,кивнул
Арагорн,вырезал
Арагорн,дал
Арагорн,взял
Арагорн,сидел
Арагорн,молчал
Арагорн,покачал
Арагорн,присоединился
Арагорн,шепнул
Арагорн,дождался
Арагорн,сказал
Арагорн,пробормотал
Арагорн,ответил
Арагорн,избегал
Арагорн,сказал
Арагорн,добавил
Арагорн,сказал
Арагорн,молвил
Арагорн,последовал
Арагорн,спустился
Арагорн,молвил
Арагорн,шелохнулся
Арагорн,воспротивился
Арагорн,спросил
Арагорн,сказал
Арагорн,проговорил
Арагорн,вскочил
Арагорн,отозвался
Арагорн,вонзил
Арагорн,промолчал
Арагорн,шествовал
Арагорн,сказал
Арагорн,кричал
Арагорн,откликнулся
