Text,Head
Гэндальф,усомнился
Гэндальф,сказал
Гэндальф,приказал
Гэндальф,вздохнул
Гэндальф,заправлял
Гэндальф,преуспевал
Гэндальф,приберег
Гэндальф,поглядел
Гэндальф,рассмеялся
Гэндальф,усомнился
Гэндальф,посмотрел
Гэндальф,сказал
Гэндальф,воздвигся
Гэндальф,отводил
Гэндальф,ответил
Гэндальф,посоветовал
Гэндальф,сказал
Гэндальф,постоял
Гэндальф,сидел
Гэндальф,откликнулся
Гэндальф,возразил
Гэндальф,сказал
Гэндальф,заметил
Гэндальф,воскликнул
Гэндальф,заметил
Гэндальф,сказал
Гэндальф,ответил
Гэндальф,махнул
Гэндальф,появлялся
Гэндальф,объявился
Гэндальф,осведомился
Гэндальф,осунулся
Гэндальф,пускал
Гэндальф,сказал
Гэндальф,одобрил
Гэндальф,ответил
Гэндальф,заверил
Гэндальф,вздохнул
Гэндальф,брал
Гэндальф,взял
Гэндальф,остановил
Гэндальф,поднялся
Гэндальф,успокоил
Гэндальф,велел
Гэндальф,откликнулся
Гэндальф,отозвался
Гэндальф,сказал
Гэндальф,продолжил
Гэндальф,возразил
Гэндальф,согласился
Гэндальф,вздохнул
Гэндальф,оборвал
Гэндальф,ответил
Гэндальф,повторил
Гэндальф,предложил
Гэндальф,рассказал
Гэндальф,оказался
Гэндальф,сел
Гэндальф,воскликнул
Гэндальф,оборвал
Гэндальф,подобрался
Гэндальф,сверкнул
Гэндальф,превратит
Гэндальф,велел
Гэндальф,сказал
Гэндальф,расположен
Гэндальф,посмотрел
Гэндальф,сказал
Гэндальф,оставался
Гэндальф,идет
Гэндальф,шел
Гэндальф,появился
Гэндальф,пришел
Гэндальф,идет
Гэндальф,может
Гэндальф,повернулся
Гэндальф,опаздывает
Гэндальф,объявится
Гэндальф,подыскал
Гэндальф,скажет
Гэндальф,говорил
Гэндальф,считал
Гэндальф,признал
Гэндальф,идет
Гэндальф,приехал
Гэндальф,пойдет
Гэндальф,бродил
Гэндальф,оставил
Гэндальф,побывал
Гэндальф,оставил
Гэндальф,рассказал
Гэндальф,намекал
Гэндальф,приходил
Гэндальф,поймал
Гэндальф,оказался
Гэндальф,вернулся
Гэндальф,успокоил
Гэндальф,отозвался
Гэндальф,сказал
Гэндальф,подтвердил
Гэндальф,улыбнулся
Гэндальф,возразил
Гэндальф,воскликнул
Гэндальф,посоветовал
Гэндальф,сказал
Гэндальф,поднялся
Гэндальф,сказал
Гэндальф,ответил
Гэндальф,отозвался
Гэндальф,улыбнулся
Гэндальф,велел
Гэндальф,остановил
