Text,Head
Голлум,обладал
Голлум,любил
Голлум,напал
Голлум,вызвал
Голлум,убьет
Голлум,выполнит
Голлум,смог
Голлум,обязан
Голлум,сдержал
Голлум,уверен
Голлум,потерял
Голлум,понял
Голлум,пробежал
Голлум,уселся
Голлум,обещал
Голлум,отправился
Голлум,обмолвился
Смеагол,отправился
Смеагол,наблюдал
Смеагол,удивился
Смеагол,запрятал
Голлум,удивился
Голлум,родстве
Голлум,решил
Голлум,подпал
Голлум,влачил
Голлум,оказался
Голлум,поведал
Голлум,потерпит
Голлум,повторял
Голлум,знает
Голлум,разузнал
Голлум,свернул
Голлум,объявился
Голлум,занимался
Голлум,научился
Голлум,нашел
Голлум,излечится
Голлум,ускользнул
Голлум,рыскал
Голлум,нашел
Голлум,может
Смеагол,бежал
Голлум,наловчился
Голлум,исчез
Голлум,направился
Голлум,рыскал
Голлум,успел
Голлум,подстроил
Голлум,выследил
Голлум,идет
Голлум,поднял
Голлум,пополз
Голлум,смог
Голлум,оказался
Голлум,зашипел
Голлум,взвизгнул
Голлум,лежал
Голлум,приподнял
Голлум,воскликнул
Голлум,зашипел
Голлум,спохватился
Голлум,уселся
Смеагол,потерялся
Голлум,отозвался
Голлум,встал
Голлум,пожаловался
Голлум,сидел
Голлум,взвился
Голлум,запищал
Голлум,выгибался
Голлум,шипел
Голлум,подхватил
Голлум,сказал
Смеагол,спросил
Голлум,заявил
Смеагол,поклянется
Смеагол,спасет
Голлум,уменьшился
Голлум,вскочил
Голлум,отозвался
Смеагол,хороший
Голлум,вскинулся
Голлум,перестал
Голлум,заливался
Голлум,вызывал
Голлум,отозвался
Голлум,испугался
Смеагол,дал
Голлум,повернул
Голлум,думает
Голлум,позвал
Голлум,порыскал
Смеагол,шел
Голлум,побрел
Голлум,продолжал
Голлум,отказался
Голлум,выказывал
Смеагол,останется
Голлум,рассердился
Голлум,бродил
Голлум,ответил
Голлум,понюхал
Смеагол,влезал
Смеагол,подавился
Смеагол,обещал
Голлум,провожал
Голлум,убедился
Голлум,слышит
Голлум,забыл
Голлум,пошевелился
Голлум,исчез
Голлум,сказал
Голлум,мог
Смеагол,пойдем
Голлум,ответствовал
Голлум,хотел
Голлум,корчился
Голлум,повторил
Голлум,выбирал
Голлум,говорит
Голлум,подхватил
Смеагол,знает
Голлум,пожал
Голлум,пытался
Голлум,закивал
Голлум,шипел
Голлум,остановился
Смеагол,чует
Смеагол,думает
Смеагол,рад
Голлум,прирос
Голлум,пригнулся
Голлум,боялся
Голлум,лежал
Голлум,согласился
Голлум,возвращался
Голлум,переживал
Голлум,вытерпел
Голлум,сидел
Голлум,собирался
Смеагол,обещал
Смеагол,сказал
Голлум,внимал
Голлум,обрадовался
Голлум,заскрипел
Смеагол,сделает
Голлум,встал
Голлум,обезумел
Голлум,поднялся
Голлум,испугался
Смеагол,сказал
Смеагол,знал
Голлум,виноват
Смеагол,знает
Смеагол,нашел
Смеагол,мог
Смеагол,боится
Смеагол,должен
Смеагол,хороший
Голлум,притворялся
Смеагол,притворялся
Смеагол,одержал
Голлум,закивал
Смеагол,дрожит
Голлум,ошибался
