Text,Head
Леголас,воскликнул
Леголас,возразил
Леголас,продолжил
Леголас,отправится
Леголас,шел
Леголас,подтвердил
Леголас,предложил
Леголас,смотрел
Леголас,прокричал
Леголас,говорил
Леголас,сказал
Леголас,выстрелил
Леголас,нарушил
Леголас,уложил
Леголас,закричал
Леголас,прислушивался
Леголас,просветлел
Леголас,оглянулся
Леголас,вскричал
Леголас,возразил
Леголас,возликовал
Леголас,рассказал
Леголас,проговорил
Леголас,начал
Леголас,вздохнул
Леголас,сказал
Леголас,засмеялся
Леголас,поднял
Леголас,добавил
Леголас,взбежал
Леголас,ответил
Леголас,сказал
Леголас,воскликнул
Леголас,сказал
Леголас,поморщился
Леголас,следом
Леголас,ответил
Леголас,ответил
Леголас,молвил
Леголас,пропадал
Леголас,отказывался
Леголас,остался
Леголас,откликнулся
Леголас,уносился
Леголас,ответил
Леголас,воскликнул
Леголас,положил
Леголас,прошептал
Леголас,пошевелился
Леголас,знал
Леголас,подтвердил
Леголас,захочет
Леголас,бежал
Леголас,приблизился
Леголас,сказал
Леголас,предложил
Леголас,сказал
Леголас,отверг
Леголас,поспешил
Леголас,сказал
Леголас,запел
Леголас,заметил
Леголас,сердился
Леголас,спрашивал
Леголас,шел
Леголас,сказал
Леголас,указал
Леголас,подтвердил
Леголас,вздохнул
Леголас,воскликнул
Леголас,покачал
Леголас,возразил
Леголас,сказал
Леголас,заспорил
Леголас,сказал
Леголас,стоял
Леголас,увидит
Леголас,воскликнул
Леголас,молвил
Леголас,сказал
Леголас,оказался
Леголас,ступал
Леголас,пообещал
Леголас,стоит
Леголас,стоял
Леголас,подтвердил
Леголас,пожал
Леголас,продолжал
Леголас,остановил
Леголас,отозвался
Леголас,попросил
Леголас,вышел
Леголас,поднял
Леголас,предупреждал
Леголас,возразил
Леголас,лежал
Леголас,рассмеялся
Леголас,поспешил
Леголас,воскликнул
Леголас,возразил
Леголас,решил
Леголас,предложил
Леголас,сказал
Леголас,оборвал
Леголас,показал
Леголас,сказал
Леголас,сказал
Леголас,вскинул
Леголас,пустил
Леголас,говорил
Леголас,воскликнул
Леголас,поправил
Леголас,вскричал
Леголас,вмешался
Леголас,возмутился
Леголас,глядел
Леголас,сказал
Леголас,сказал
Леголас,сказал
Леголас,вздохнул
Леголас,молвил
Леголас,сказал
Леголас,сказал
Леголас,сказал
Леголас,молвил
Леголас,сказал
Леголас,отдал
Леголас,напряг зрение
Леголас,рассмеялся
Леголас,поедет
Леголас,ответил
Леголас,скакал
Леголас,устроился
Леголас,одобрил
Леголас,стоял
Леголас,отозвался
Леголас,вздохнул
Леголас,повернулся
Леголас,следовал
Леголас,воскликнул
Леголас,звучал
Леголас,отозвался
Леголас,ехал
Леголас,сказал
Леголас,вертел
Леголас,возразил
Леголас,сказал
Леголас,улыбнулся
Леголас,признался
Леголас,заверил
Леголас,оглянулся
Леголас,поворачивал
Леголас,последовал
Леголас,рассмеялся
Леголас,пригляделся
Леголас,заметил
Леголас,сказал
Леголас,рассмеялся
Леголас,воскликнул
Леголас,сказал
Леголас,лежал
Леголас,добавил
Леголас,воскликнул
Леголас,ответил
Леголас,сказал
Леголас,возразил
Леголас,стоял
Леголас,сказал
Леголас,ответил
Леголас,добавил
Леголас,покачал
Леголас,показался
Леголас,вытерпел
Леголас,сказал
Леголас,оседлал
Леголас,остался
Леголас,закрыл
Леголас,обернулся
Леголас,воскликнул
Леголас,спросил
Леголас,посетовал
Леголас,молвил
Леголас,поклонился
Леголас,молвил
Леголас,возразил
Леголас,вздохнул
Леголас,вглядывался
Леголас,поправил
Леголас,поправил
Леголас,хорошо
Леголас,остановился
Леголас,согласился
Леголас,кивнул
Леголас,добавил
Леголас,ехал
Леголас,мог
Леголас,поднялся
Леголас,спустился
Леголас,сдержал
