,Text,Dep,Head,Child
7924,Фродо,nsubj,показал,[Одному]
8260,Фродо,nsubj,привез,[]
8656,Фродо,nsubj,пользовался,[]
9394,Фродо,nsubj,усыновил,[]
9455,Фродо,nsubj,считался,[]
9556,Фродо,nsubj,достиг,[]
15438,Фродо,nsubj,окликнул,[]
15453,Фродо,nsubj,сказал,[один]
15495,Фродо,nsubj,удерживался,[]
15521,Фродо,nsubj,понял,[]
15563,Фродо,nsubj,почувствовал,[]
17605,Фродо,nsubj,Отдай,[]
17846,Фродо,nsubj,сделается,[]
18288,Фродо,nsubj,заставил,[]
18345,Фродо,nsubj,вздохнул,[]
18469,Фродо,nsubj,изумился,[]
18550,Фродо,nsubj,отвечал,[]
18767,Фродо,nsubj,поджидал,[]
19411,Фродо,nsubj,получил,[]
19605,Фродо,nsubj,отправился,[]
19628,Фродо,nsubj,потребовал,[]
19715,Фродо,nsubj,сидел,[]
19817,Фродо,nsubj,ответил,[]
19984,Фродо,nsubj,вышел,[]
20106,Фродо,nsubj,сказал,[]
20250,Фродо,nsubj,рухнул,[]
20323,Фродо,nsubj,поморщился,[]
20381,Фродо,nsubj,поморщился,[]
20415,Фродо,nsubj,двинулся,[]
20462,Фродо,nsubj,закричал,[]
20655,Фродо,nsubj,заверил,[]
20996,Фродо,nsubj,вскричал,[]
21116,Фродо,nsubj,воскликнул,[]
21263,Фродо,nsubj,почудилось,[]
21303,Фродо,nsubj,увидел,[]
21621,Фродо,nsubj,продолжал,[]
21640,Фродо,nsubj,уставал,[]
21666,Фродо,nsubj,пожимал,[]
21676,Фродо,nsubj,стал,[]
21761,Фродо,nsubj,гулял,[]
21805,Фродо,nsubj,хаживает,[]
21825,Фродо,nsubj,сохраняется,[]
21896,Фродо,nsubj,оправившись,[Сам]
22024,Фродо,nsubj,разменял,[]
22055,Фродо,nsubj,почувствовал,[]
22113,Фродо,nsubj,пристрастился,[]
22178,Фродо,nsubj,старался,[]
22315,Фродо,nsubj,встречал,[]
22579,Фродо,nsubj,шел,[]
23390,Фродо,nsubj,спятит,"[,, да]"
23564,Фродо,nsubj,оглядел,[]
23641,Фродо,nsubj,видел,[]
23686,Фродо,nsubj,услышал,[]
23695,Фродо,nsubj,встретил,[]
23742,Фродо,nsubj,ответил,[]
23788,Фродо,nsubj,расположились,[Гэндальф]
23934,Фродо,nsubj,погрузился,[]
24326,Фродо,nsubj,вымолвил,[]
24352,Фродо,nsubj,спросил,[]
24528,Фродо,nsubj,вспомнил,[]
24979,Фродо,nsubj,спросил,[]
25259,Фродо,nsubj,спросил,[]
25804,Фродо,nsubj,удивился,[]
25897,Фродо,nsubj,добыл,[]
25929,Фродо,nsubj,желал,[–]
25979,Фродо,nsubj,пожал,[]
26015,Фродо,nsubj,изумлению,[]
26030,Фродо,nsubj,вскрикнул,[]
26137,Фродо,nsubj,ахнул.–Холодное,[]
26179,Фродо,nsubj,поднес,[]
26251,Фродо,nsubj,сказал,[]
26468,Фродо,nsubj,застыл,[]
26711,Фродо,nsubj,обещает,"[,, ,]"
27155,Фродо,nsubj,вскричал,[]
28538,Фродо,nsubj,закричал,[]
28608,Фродо,nsubj,запротестовал,[]
28721,Фродо,nsubj,признал,[]
29137,Фродо,nsubj,понял,[]
29378,Фродо,nsubj,усмехнулся,[]
29625,Фродо,nsubj,отозвался,[]
31206,Фродо,nsubj,слышал,[]
31578,Фродо,nsubj,вскричал,[]
31697,Фродо,nsubj,понурился,[]
31731,Фродо,nsubj,заявил,[]
31979,Фродо,nsubj,сказал,[]
32137,Фродо,nsubj,нет,"[,, дорогой]"
32359,Фродо,nsubj,подумалось,[]
32382,Фродо,nsubj,намеревался,[]
32579,Фродо,nsubj,подумалось,[]
32602,Фродо,nsubj,намеревался,[]
32912,Фродо,nsubj,воскликнул,[]
33365,Фродо,nsubj,отозвался,[]
33470,Фродо,nsubj,вздохнул,[]
33806,Фродо,nsubj,позабыл,[]
34091,Фродо,nsubj,заметил,[]
34357,Фродо,nsubj,сдерживался,[]
34627,Фродо,nsubj,сказал,[]
34848,Фродо,nsubj,мог,[]
34959,Фродо,nsubj,предложил,[]
35001,Фродо,nsubj,намеревался,[ктому]
35049,Фродо,nsubj,казалось,[]
35077,Фродо,nsubj,волновала,[]
35095,Фродо,nsubj,старался,[]
35201,Фродо,nsubj,заметил,[]
35297,Фродо,nsubj,признался,[]
35400,Фродо,nsubj,пробормотал,[]
35808,Фродо,nsubj,решил,[Бэггинс]
35906,Фродо,nsubj,провел,[]
36004,Фродо,nsubj,показалось,[]
36124,Фродо,nsubj,встревожился,[порядком]
36146,Фродо,nsubj,забыл,[]
36199,Фродо,nsubj,забеспокоился,[]
36311,Фродо,nsubj,решил,[]
36319,Фродо,nsubj,потерял,[]
36371,Фродо,nsubj,устроил,[]
36427,Фродо,nsubj,терзался,[]
36454,Фродо,nsubj,решил,[]
36462,Фродо,nsubj,потерял,[]
36514,Фродо,nsubj,устроил,[]
36570,Фродо,nsubj,терзался,[]
36624,Фродо,nsubj,стал,[]
36652,Фродо,nsubj,объявил,[]
36783,Фродо,nsubj,находил,[]
36804,Фродо,nsubj,решил,[]
36832,Фродо,nsubj,решил,[Сам]
36875,Фродо,nsubj,добавил,[]
37104,Фродо,nsubj,стал,[]
37191,Фродо,nsubj,провозгласил,[]
37250,Фродо,nsubj,кружил,[]
37276,Фродо,nsubj,вышел,[]
37326,Фродо,nsubj,сказал,[]
37403,Фродо,nsubj,показался,[]
37411,Фродо,nsubj,расслышал,[]
37562,Фродо,nsubj,подивился,[]
37656,Фродо,nsubj,шагнул,[]
37788,Фродо,nsubj,воскликнул,[]
37808,Фродо,nsubj,сказал,[]
37961,Фродо,nsubj,отдувался,[]
38025,Фродо,nsubj,разленился,[наш]
38043,Фродо,nsubj,взмолился,[]
38342,Фродо,nsubj,обернулся,[]
38585,Фродо,nsubj,удивился,[]
38757,Фродо,nsubj,отложил,[]
38883,Фродо,nsubj,проснулся,[]
39175,Фродо,nsubj,отозвался,[]
39470,Фродо,nsubj,ответил,[]
39577,Фродо,nsubj,пожал,[]
39975,Фродо,nsubj,предположил,[]
40105,Фродо,nsubj,колебался,[]
40135,Фродо,nsubj,спохватился,[]
40238,Фродо,nsubj,хоронился,[]
40290,Фродо,nsubj,охватил,[]
40372,Фродо,nsubj,решил,[]
40407,Фродо,nsubj,подполз,[]
40456,Фродо,nsubj,сказал,[]
40560,Фродо,nsubj,возразил,[]
40640,Фродо,nsubj,удивился,[]
40923,Фродо,nsubj,вздохнул,[]
41029,Фродо,nsubj,пробормотал,[]
41152,Фродо,nsubj,согласился,[]
41329,Фродо,nsubj,объявил,[]
41603,Фродо,nsubj,шикнул,[]
41660,Фродо,nsubj,остановил,[]
41726,Фродо,nsubj,подкрался,[]
41768,Фродо,nsubj,заметил,[]
41830,Фродо,nsubj,показалось,[]
41884,Фродо,nsubj,нащупал,[]
41947,Фродо,nsubj,перевел,[]
41972,Фродо,nsubj,удержали,[Пиппин]
41982,Фродо,nsubj,подтвердил,[]
42092,Фродо,nsubj,остановил,[]
42122,Фродо,nsubj,мог,[]
42250,Фродо,nsubj,воскликнул,[потрясенный]
42457,Фродо,nsubj,ответил,[]
42567,Фродо,nsubj,заметил,[]
42830,Фродо,nsubj,ответил,[]
42940,Фродо,nsubj,заметил,[]
43195,Фродо,nsubj,ответил,[]
43583,Фродо,nsubj,сидели,[спутники]
43873,Фродо,nsubj,возразил,[]
44102,Фродо,nsubj,сидел,[]
44237,Фродо,nsubj,последовал,[]
44262,Фродо,nsubj,расспрашивал,[]
44301,Фродо,nsubj,задал,[]
44358,Фродо,nsubj,решил,[]
44452,Фродо,nsubj,ответил,[]
44534,Фродо,nsubj,Берегись,"[,]"
44656,Фродо,nsubj,воскликнул,[]
45174,Фродо,nsubj,сказал,[]
45415,Фродо,nsubj,упал,[]
45426,Фродо,nsubj,почувствовал,[]
45460,Фродо,nsubj,упал,[]
45526,Фродо,nsubj,вскочил,[]
45598,Фродо,nsubj,сел,[]
45629,Фродо,nsubj,отозвался,[]
45677,Фродо,nsubj,ответил,[]
45776,Фродо,nsubj,бросил,[расположенный]
45886,Фродо,nsubj,сказал,[сам]
46000,Фродо,nsubj,сказал,[]
46206,Фродо,nsubj,согласился,[]
46274,Фродо,nsubj,поглядел,[]
46482,Фродо,nsubj,съел,[]
46605,Фродо,nsubj,сказал,[]
46763,Фродо,nsubj,возразил,[]
47218,Фродо,nsubj,нырнул,[]
47599,Фродо,nsubj,возразил,[]
47795,Фродо,nsubj,вскочил,[]
48179,Фродо,nsubj,уверен,[]
48381,Фродо,nsubj,ахнул,[]
48466,Фродо,nsubj,вздохнул,[]
49120,Фродо,nsubj,заикнулся,[]
50328,Фродо,nsubj,уклонился,[]
50421,Фродо,nsubj,признался,[]
50572,Фродо,nsubj,ответил,[]
50632,Фродо,nsubj,принял,[]
51007,Фродо,nsubj,казалось,[]
51338,Фродо,nsubj,соскочил,[]
51636,Фродо,nsubj,рассмеялся,[]
52674,Фродо,nsubj,ответил,[]
52725,Фродо,nsubj,заметил,[]
52830,Фродо,nsubj,сказал,[]
