Text,Head
Фродо,показал
Фродо,привез
Фродо,пользовался
Фродо,усыновил
Фродо,считался
Фродо,достиг
Фродо,окликнул
Фродо,сказал
Фродо,удерживался
Фродо,понял
Фродо,почувствовал
Фродо,сделается
Фродо,заставил
Фродо,вздохнул
Фродо,изумился
Фродо,отвечал
Фродо,поджидал
Фродо,получил
Фродо,отправился
Фродо,потребовал
Фродо,сидел
Фродо,ответил
Фродо,вышел
Фродо,сказал
Фродо,рухнул
Фродо,поморщился
Фродо,двинулся
Фродо,закричал
Фродо,заверил
Фродо,вскричал
Фродо,воскликнул
Фродо,почудилось
Фродо,увидел
Фродо,продолжал
Фродо,уставал
Фродо,пожимал
Фродо,стал
Фродо,гулял
Фродо,хаживает
Фродо,сохраняется
Фродо,разменял
Фродо,почувствовал
Фродо,пристрастился
Фродо,старался
Фродо,встречал
Фродо,шел
Фродо,спятит
Фродо,оглядел
Фродо,видел
Фродо,услышал
Фродо,встретил
Фродо,ответил
Фродо,расположились
Фродо,погрузился
Фродо,вымолвил
Фродо,спросил
Фродо,вспомнил
Фродо,спросил
Фродо,удивился
Фродо,добыл
Фродо,желал
Фродо,пожал
Фродо,изумлению
Фродо,вскрикнул
Фродо,ахнул
Фродо,поднес
Фродо,сказал
Фродо,застыл
Фродо,обещает
Фродо,вскричал
Фродо,закричал
Фродо,запротестовал
Фродо,признал
Фродо,понял
Фродо,усмехнулся
Фродо,отозвался
Фродо,слышал
Фродо,вскричал
Фродо,понурился
Фродо,заявил
Фродо,сказал
Фродо,намеревался
Фродо,воскликнул
Фродо,отозвался
Фродо,вздохнул
Фродо,позабыл
Фродо,заметил
Фродо,сдерживался
Фродо,сказал
Фродо,мог
Фродо,предложил
Фродо,намеревался
Фродо,казалось
Фродо,старался
Фродо,заметил
Фродо,признался
Фродо,пробормотал
Фродо,решил
Фродо,провел
Фродо,показалось
Фродо,встревожился
Фродо,забыл
Фродо,забеспокоился
Фродо,решил
Фродо,потерял
Фродо,устроил
Фродо,терзался
Фродо,решил
Фродо,потерял
Фродо,устроил
Фродо,терзался
Фродо,стал
Фродо,объявил
Фродо,находил
Фродо,решил
Фродо,решил
Фродо,добавил
Фродо,стал
Фродо,провозгласил
Фродо,кружил
Фродо,вышел
Фродо,сказал
Фродо,показался
Фродо,расслышал
Фродо,подивился
Фродо,шагнул
Фродо,воскликнул
Фродо,сказал
Фродо,отдувался
