,Text,Dep,Head,Child
7481,Гэндальф,nsubj,усомнился,[]
7532,Гэндальф,nsubj,сказал,[]
7660,Гэндальф,nsubj,усомнился,[]
7711,Гэндальф,nsubj,сказал,[]
11820,Гэндальф,nsubj,приказал,[]
12045,Гэндальф,nsubj,вздохнул,[качая]
12931,Гэндальф,nsubj,заправлял,[]
13012,Гэндальф,nsubj,преуспевал,[]
13145,Гэндальф,nsubj,приберег,[]
16274,Гэндальф,nsubj,поглядел,[]
16375,Гэндальф,nsubj,будет,"[рассмеялся:–Так, оно]"
16551,Гэндальф,nsubj,усомнился,[]
16648,Гэндальф,nsubj,посмотрел,[]
16783,Гэндальф,nsubj,сказал,[]
16960,Гэндальф,nsubj,сказал,[]
17238,Гэндальф,nsubj,воздвигся,"[Не, великан]"
17286,Гэндальф,nsubj,отводил,[]
17368,Гэндальф,nsubj,ответил,[]
17580,Гэндальф,nsubj,посоветовал,[]
17835,Гэндальф,nsubj,сказал,[]
18251,Гэндальф,nsubj,постоял,[]
18299,Гэндальф,nsubj,сидел,[]
18322,Гэндальф,nsubj,откликнулся,[]
18396,Гэндальф,nsubj,возразил,[]
18441,Гэндальф,nsubj,сказал,[]
18494,Гэндальф,nsubj,заметил,[]
20547,Гэндальф,nsubj,воскликнул,[]
20631,Гэндальф,nsubj,заметил,[]
20740,Гэндальф,nsubj,сказал,[]
21193,Гэндальф,nsubj,ответил,[]
21244,Гэндальф,nsubj,махнул,[]
22164,Гэндальф,nsubj,появлялся,[]
23545,Гэндальф,nsubj,объявился,[]
23721,Гэндальф,nsubj,осведомился,[]
23751,Гэндальф,nsubj,осунулся,[]
23916,Гэндальф,nsubj,пускал,[]
24375,Гэндальф,nsubj,сказал,[]
24548,Гэндальф,nsubj,одобрил,[]
24992,Гэндальф,nsubj,ответил,[]
25280,Гэндальф,nsubj,заверил,[]
25854,Гэндальф,nsubj,вздохнул,[]
25935,Гэндальф,nsubj,брал,[]
25941,Гэндальф,nsubj,взял,[]
26038,Гэндальф,nsubj,остановил,[]
26069,Гэндальф,nsubj,поднялся,[]
26149,Гэндальф,nsubj,успокоил,[]
26177,Гэндальф,nsubj,велел,[]
26258,Гэндальф,nsubj,откликнулся,[]
26528,Гэндальф,nsubj,отозвался,[]
27203,Гэндальф,nsubj,сказал,[]
27486,Гэндальф,nsubj,продолжил,[]
28623,Гэндальф,nsubj,возразил,[]
28795,Гэндальф,nsubj,согласился,[]
28943,Гэндальф,nsubj,вздохнул,[]
29402,Гэндальф,nsubj,оборвал,[]
30492,Гэндальф,nsubj,ответил,[]
31234,Гэндальф,nsubj,повторил,[]
32306,Гэндальф,nsubj,предложил,[]
32430,Гэндальф,nsubj,рассказал,[только]
32526,Гэндальф,nsubj,предложил,[]
32650,Гэндальф,nsubj,рассказал,[только]
32683,Гэндальф,nsubj,невесело,[]
33058,Гэндальф,nsubj,оказался,[]
33270,Гэндальф,nsubj,сел,[]
33848,Гэндальф,nsubj,воскликнул,[]
34083,Гэндальф,nsubj,оборвал,[]
34110,Гэндальф,nsubj,подобрался,[]
34153,Гэндальф,nsubj,воскликнул,[]
34227,Гэндальф,nsubj,оборвал,[]
34295,Гэндальф,nsubj,сверкнул,[]
