,Text,Dep,Head,Child
145321,Гимли,nsubj,облачился,"[,, а, вор!Только, гном]"
147496,Гимли,nsubj,продекламировал,[]
148661,Гимли,nsubj,сказал,[]
150055,Гимли,nsubj,сказал,[]
150183,Гимли,nsubj,ворчал,"[Даже, крепкий]"
150297,Гимли,nsubj,ворчал,"[Даже, крепкий]"
150487,Гимли,nsubj,вспомнил,[]
151346,Гимли,nsubj,возразил,[]
151483,Гимли,nsubj,взглянул,[]
152135,Гимли,nsubj,торжествовал,[]
152548,Гимли,nsubj,умостился,[]
152607,Гимли,nsubj,закричал,[]
153338,Гимли,nsubj,один,[]
153946,Гимли,nsubj,встретит,[]
153982,Гимли,nsubj,сказал,[]
155080,Гимли,nsubj,стоял,[]
155890,Гимли,nsubj,обернулся,[ушедший]
156249,Гимли,nsubj,взбежал,[]
156460,Гимли,nsubj,предложил,[]
156770,Гимли,nsubj,шагнул,[]
157644,Гимли,nsubj,простукивал,[]
157699,Гимли,nsubj,сказал,[]
158243,Гимли,nsubj,удивился,[]
158364,Гимли,nsubj,подтвердил,[]
159274,Гимли,nsubj,ошибся,[]
159391,Гимли,nsubj,ошибся,[]
160487,Гимли,nsubj,вышагивал,[]
160812,Гимли,nsubj,помогал,[]
160863,Гимли,nsubj,подозревал,"[даже, сын, гном]"
161882,Гимли,nsubj,определил,[]
163158,Гимли,nsubj,поправил,[]
164077,Гимли,nsubj,вскочил,[молчавший]
164535,Гимли,nsubj,отозвался,[]
165079,Гимли,nsubj,отозвался,[]
165508,Гимли,nsubj,закрыл,[]
165979,Гимли,nsubj,перевел,[]
166232,Гимли,nsubj,определил,[]
166584,Гимли,nsubj,пробормотал,[]
167597,Гимли,nsubj,обрубил,[]
167937,Гимли,nsubj,медлил,[только]
169108,Гимли,nsubj,заговорил,[]
171498,Гимли,nsubj,вздохнул,[]
171650,Гимли,nsubj,молвил,[]
171819,Гимли,nsubj,вскричал,[]
171961,Гимли,nsubj,остановился,[]
171981,Гимли,nsubj,мог,[Даже]
172098,Гимли,nsubj,прошептал,[]
172210,Гимли,nsubj,сказал,[]
172790,Гимли,nsubj,разжигали,[хоббиты]
173131,Гимли,nsubj,возразил,[]
173533,Гимли,nsubj,шли,[Фродо]
173551,Гимли,nsubj,нарушил,[]
173770,Гимли,nsubj,остановился,[]
178361,Гимли,nsubj,принял,[]
178591,Гимли,nsubj,выхватил,[]
178673,Гимли,nsubj,расхохотался.–Хороши,[]
178774,Гимли,nsubj,провозгласил,[]
183551,Гимли,nsubj,забудет,[]
184366,Гимли,nsubj,улыбался,[]
190373,Гимли,nsubj,взял,[]
193753,Гимли,nsubj,ответил,[]
193855,Гимли,nsubj,молвил,[]
193967,Гимли,nsubj,красноречив,[гном]
194032,Гимли,nsubj,ответствовал,[]
194885,Гимли,nsubj,плакал,[]
195159,Гимли,nsubj,вздохнул,[]
195514,Гимли,nsubj,хлопотал,[]
196671,Гимли,nsubj,перебирал,[]
199623,Гимли,nsubj,воскликнул,[]
199654,Гимли,nsubj,ответил,[]
201271,Гимли,nsubj,сказал,[]
207463,Гимли,nsubj,сказал,[]
211328,Гимли,nsubj,сжимал,[]
211464,Гимли,nsubj,вскричал,[]
211565,Гимли,nsubj,заметил,[]
211662,Гимли,nsubj,возразил,[]
212056,Гимли,nsubj,предположил,[]
212235,Гимли,nsubj,торопил,[]
212272,Гимли,nsubj,срубил,[]
212412,Гимли,nsubj,ответил,[]
213212,Гимли,nsubj,сказал,[]
213393,Гимли,nsubj,спросил,[]
213677,Гимли,nsubj,подытожил,[]
214001,Гимли,nsubj,воскликнул,[]
214667,Гимли,nsubj,помрачнел,[]
214845,Гимли,nsubj,добавил,[]
215436,Гимли,nsubj,приободрился,[]
216021,Гимли,nsubj,возликовал,[]
216330,Гимли,nsubj,добавил,[]
216529,Гимли,nsubj,вздохнул,[]
216603,Гимли,nsubj,сказал,[]
216733,Гимли,nsubj,пробормотал,[]
216852,Гимли,nsubj,просыпался,[]
217037,Гимли,nsubj,подумал,[]
217547,Гимли,nsubj,скрипнул,[]
218026,Гимли,nsubj,сказал,[]
218141,Гимли,nsubj,горбился,[]
218394,Гимли,nsubj,сказал,[]
218753,Гимли,nsubj,слышал,[]
219006,Гимли,nsubj,себе,[]
219247,Гимли,nsubj,услышал,[]
219500,Гимли,nsubj,остались,[Леголас]
220914,Гимли,nsubj,возразил,[]
223658,Гимли,nsubj,откликнулся,[]
223836,Гимли,nsubj,подсадили,[]
223896,Гимли,nsubj,обещал,[]
