,Text,Dep,Head,Child
6307,Голлум,nsubj,тварью,[]
6384,Голлум,nsubj,обладал,"[Этот, самый]"
6428,Голлум,nsubj,любил,[]
6490,Голлум,nsubj,напал,[]
6529,Голлум,nsubj,вызвал,[]
6559,Голлум,nsubj,убьет,[]
6570,Голлум,nsubj,выполнит,[]
6677,Голлум,nsubj,смог,[]
6737,Голлум,nsubj,обязан,[]
6751,Голлум,nsubj,сдержал,[]
6849,Голлум,nsubj,уверен,[]
6888,Голлум,nsubj,потерял,[]
6929,Голлум,nsubj,понял,[]
7031,Голлум,nsubj,пробежал,[]
7138,Голлум,nsubj,уселся,[]
7276,Голлум,nsubj,обещал,[]
7287,Голлум,nsubj,отправился,[]
17041,Голлум,nsubj,обмолвился,[разок]
27801,Смеагол,nsubj,отправился,[]
27923,Смеагол,nsubj,наблюдал,[]
28030,Смеагол,nsubj,удивился,[]
28074,Смеагол,nsubj,запрятал,[]
28373,Голлум,nsubj,удивился,[]
28592,Голлум,nsubj,родстве,[]
28652,Голлум,nsubj,сродни,[]
28747,Голлум,nsubj,решил,[]
28835,Голлум,nsubj,подпал,[]
29100,Голлум,nsubj,влачил,[]
29353,Голлум,nsubj,оказался,[]
29873,Голлум,nsubj,поведал,[сам]
29888,Голлум,nsubj,лжец,[]
30199,Голлум,nsubj,потерпит,[]
30246,Голлум,nsubj,повторял,[]
30262,Голлум,nsubj,знает,[]
30687,Голлум,nsubj,разузнал,"[,, и, слухом]"
30898,Голлум,nsubj,свернул,[]
31066,Голлум,nsubj,объявился,[]
31084,Голлум,nsubj,занимался,[]
31323,Голлум,nsubj,научился,[]
31432,Голлум,nsubj,нашел,[]
31854,Голлум,nsubj,излечится,[]
129398,Голлум,nsubj,ускользнул,[]
130760,Голлум,nsubj,рыскал,[]
131009,Голлум,nsubj,нашел,[]
131421,Голлум,nsubj,тварь,[этот]
131511,Голлум,nsubj,может,[]
131588,Смеагол,nsubj,бежал.–Бежал,[носящий]
131874,Голлум,nsubj,наловчился,[]
131961,Голлум,nsubj,исчез,[]
132005,Голлум,nsubj,хитер,[]
132096,Голлум,nsubj,направился,[]
132169,Голлум,nsubj,будет,"[–, ни, сам, Саурон]"
198053,Голлум,nsubj,рыскал,[]
198352,Голлум,nsubj,успел,[]
199008,Голлум,nsubj,подстроил,[]
207290,Голлум,nsubj,выследил,[]
210357,Голлум,nsubj,идет,[существо]
317678,Голлум,nsubj,поднял,[]
317694,Голлум,nsubj,пополз,[]
317951,Голлум,nsubj,пополз,[]
317992,Голлум,nsubj,смог,[]
318062,Голлум,nsubj,оказался,[]
318137,Голлум,nsubj,зашипел,[]
318379,Голлум,nsubj,взвизгнул,[]
318513,Голлум,nsubj,лежал,[]
318730,Голлум,nsubj,приподнял,[]
318834,Голлум,nsubj,воскликнул,[]
318999,Голлум,nsubj,зашипел,[уши]
319121,Голлум,nsubj,спохватился,[]
319390,Голлум,nsubj,уселся,[]
319447,Смеагол,nsubj,потерялся,[]
319476,Голлум,nsubj,отозвался,[]
319488,Голлум,nsubj,встал,[]
319531,Голлум,nsubj,пожаловался,[]
319631,Голлум,nsubj,сидел,[]
319748,Голлум,nsubj,взвился,[]
319978,Голлум,nsubj,запищал,[]
319992,Голлум,nsubj,выгибался,[]
320156,Голлум,nsubj,шипел,[]
320263,Голлум,nsubj,подхватил,[]
320290,Голлум,nsubj,сказал,[]
320387,Смеагол,nsubj,спросил,[]
320397,Голлум,nsubj,заявил,[]
320425,Смеагол,nsubj,поклянется,[]
