,Text,Dep,Head,Child
131547,Леголас,nsubj,воскликнул,[]
131641,Леголас,nsubj,возразил,[]
131816,Леголас,nsubj,водили,"[,, и, продолжил:–В]"
143357,Леголас,nsubj,отправится,[]
146629,Леголас,nsubj,шел,[зоркий]
147637,Леголас,nsubj,подтвердил,[]
151593,Леголас,nsubj,предложил,[]
151795,Леголас,nsubj,смотрел,[]
151883,Леголас,nsubj,прокричал,[Гэндальфу]
152660,Леголас,nsubj,говорил,[]
154341,Леголас,nsubj,сказал,[]
154899,Леголас,nsubj,выстрелил,[]
157650,Леголас,nsubj,нарушил,"[прислушиваясь, !]"
167588,Леголас,nsubj,уложил,[]
170034,Леголас,nsubj,закричал,[]
170266,Леголас,nsubj,закричал,[]
172316,Леголас,nsubj,просветлел,[]
172546,Леголас,nsubj,оглянулся,[]
172579,Леголас,nsubj,оглянулся,[]
173840,Леголас,nsubj,вскричал,[]
174012,Леголас,nsubj,возразил,[]
174404,Леголас,nsubj,возликовал,[]
174591,Леголас,nsubj,рассказал,[]
174669,Леголас,nsubj,проговорил,[]
174742,Леголас,nsubj,начал,[]
175123,Леголас,nsubj,вздохнул,[]
175494,Леголас,nsubj,сказал,[]
175607,Леголас,nsubj,засмеялся,[]
175736,Леголас,nsubj,поднял,[]
175818,Леголас,nsubj,добавил,[]
175952,Леголас,nsubj,взбежал,[]
176334,Леголас,nsubj,ответил,[]
176391,Леголас,nsubj,сказал,[]
177750,Леголас,nsubj,воскликнул,[]
178014,Леголас,nsubj,сказал,[]
178806,Леголас,nsubj,поморщился,[]
182166,Леголас,nsubj,следом,[]
182869,Леголас,nsubj,ответил,[]
182981,Леголас,nsubj,ответил,[]
183168,Леголас,nsubj,молвил,[]
184822,Леголас,nsubj,пропадал,[]
184967,Леголас,nsubj,отказывался,[]
189826,Леголас,nsubj,остался,[]
195047,Леголас,nsubj,откликнулся,[]
196657,Леголас,nsubj,уносился,[]
198437,Леголас,nsubj,ответил,[]
198997,Леголас,nsubj,воскликнул,[]
199228,Леголас,nsubj,положил,[]
199354,Леголас,nsubj,прошептал,[]
200064,Леголас,nsubj,пошевелился,[]
201348,Леголас,nsubj,знал,[даже]
207425,Леголас,nsubj,подтвердил,[]
207689,Леголас,nsubj,захочет,[]
