,Text,Dep,Head,Child
4216,Мериадок,nsubj,играют,"[сам, зелье]"
8690,Мериадок,nsubj,порывали,[Перегрин]
8761,Мериадок,nsubj,известен,[]
8966,Мериадок,nsubj,получил,[]
19630,Мерри,nsubj,поклонился,[]
20117,Мерри,nsubj,возразил,[Брендибэк]
21799,Мерри,nsubj,подозревали,[Пиппин]
22125,Мерри,nsubj,наблюдали,[остальные]
35825,Мерри,nsubj,присмотрит,[Брендибэк]
36729,Мерри,nsubj,вызвался,[]
38593,Мерри,nsubj,ждать,[]
48682,Мерри,nsubj,накоротке,[ним]
51271,Мерри,nsubj,откинул,[]
51298,Мерри,nsubj,рассмеялся,[]
51327,Мерри,nsubj,обвязан,[]
51353,Мерри,nsubj,воскликнул,[]
51668,Мерри,nsubj,заметил,[]
51794,Мерри,nsubj,оттолкнулся,[]
52532,Мерри,nsubj,швартовал,[]
52760,Мерри,nsubj,ответил,[]
52858,Мерри,nsubj,поскакал,[]
53183,Мерри,nsubj,спросил,[спешивший]
53387,Мерри,nsubj,провел,[]
53466,Мерри,nsubj,перебил,[]
53515,Мерри,nsubj,отправились,[Пончик]
53564,Мерри,nsubj,услышали,[Пончиком]
53673,Мерри,nsubj,подошел,[]
53721,Мерри,nsubj,раскрыл,[]
53941,Мерри,nsubj,разрешил,[]
54138,Мерри,nsubj,сказал,[]
54239,Мерри,nsubj,сказал,[]
54432,Мерри,nsubj,хорошо,[кивнул.–Ну]
54478,Мерри,nsubj,предложил,[]
55140,Мерри,nsubj,сказал,[]
55181,Мерри,nsubj,кивнул,[]
55330,Мерри,nsubj,начал,[]
55564,Мерри,nsubj,рассмеялся,[]
55749,Мерри,nsubj,скомандовал,[]
55998,Мерри,nsubj,вмешался,[]
56333,Мерри,nsubj,затянули,[Пиппин]
56624,Мерри,nsubj,сказал,[]
56705,Мерри,nsubj,ответил,[]
57019,Мерри,nsubj,возразил,[]
57100,Мерри,nsubj,заверил,[]
57525,Мерри,nsubj,остановил,[]
57780,Мерри,nsubj,стоял,[]
57813,Мерри,nsubj,возмутился,[]
57914,Мерри,nsubj,шел,[]
58095,Мерри,nsubj,скомандовал,[]
58292,Мерри,nsubj,спешился,[]
58332,Мерри,nsubj,объявил,[]
58364,Мерри,nsubj,пожал,[]
58948,Мерри,nsubj,выглядел,[один]
59207,Мерри,nsubj,сказал,[]
59237,Мерри,nsubj,вертел,[]
59270,Мерри,nsubj,присвистнул,[]
59772,Мерри,nsubj,сказал,[]
59976,Мерри,nsubj,сказал,[]
60241,Мерри,nsubj,показал,[]
61151,Мерри,nsubj,заявил,[]
61210,Мерри,nsubj,продолжал,[]
61334,Мерри,nsubj,ответил,[]
61743,Мерри,nsubj,доволоклись,[Пиппином]
62273,Мерри,nsubj,оказался,[]
62676,Мерри,nsubj,вскрикнул,[]
62695,Мерри,nsubj,закричал,[]
62733,Мерри,nsubj,взмолился,[]
63454,Мерри,nsubj,приободрился,[]
66111,Мерри,nsubj,закричали,[Пиппин]
66702,Мерри,nsubj,вторгся,[]
66744,Мерри,nsubj,подумал,[]
66792,Мерри,nsubj,вспомнил,[]
66857,Мерри,nsubj,вздохнул,[]
69963,Мерри,nsubj,повернулся,[]
71575,Мерри,nsubj,догадался,[]
74827,Мерри,nsubj,начал,[]
75480,Мерри,nsubj,церемонился,"[хозяин, ,]"
77712,Мерри,nsubj,ответил,[]
79389,Мерри,nsubj,вмешался,[]
