,Text,Dep,Head,Child
36776,Пиппин,nsubj,остался,[]
37209,Пиппин,nsubj,затянули,[Сэм]
37222,Пиппин,nsubj,отправился,[]
37642,Пиппин,nsubj,сидел,[]
38002,Пиппин,nsubj,вмешался,[]
38528,Пиппин,nsubj,начал,[]
39015,Пиппин,nsubj,возразил,[кося]
39152,Пиппин,nsubj,рассердился,[]
39362,Пиппин,nsubj,вздохнул,[]
39468,Пиппин,nsubj,отозвался,[]
39555,Пиппин,nsubj,припомнил,[]
39810,Пиппин,nsubj,зевнул,[]
40090,Пиппин,nsubj,бросились,[и]
40543,Пиппин,nsubj,недоумевал,[]
40989,Пиппин,nsubj,предположил,[]
41043,Пиппин,nsubj,быть,[]
41596,Пиппин,nsubj,пропел,[]
41690,Пиппин,nsubj,шепнул,[]
42643,Пиппин,nsubj,вмешался,[]
42690,Пиппин,nsubj,пояснил,[]
42800,Пиппин,nsubj,воскликнул,[]
43016,Пиппин,nsubj,вмешался,[]
43063,Пиппин,nsubj,пояснил,[]
43173,Пиппин,nsubj,воскликнул,[]
43360,Пиппин,nsubj,стал,[]
43613,Пиппин,nsubj,притулился,[]
43875,Пиппин,nsubj,мог,[]
45543,Пиппин,nsubj,глядел,[]
45567,Пиппин,nsubj,обернулся,[Фродо]
45822,Пиппин,nsubj,удивился,[]
46529,Пиппин,nsubj,откликнулся,[]
46586,Пиппин,nsubj,фыркнул,[]
46697,Пиппин,nsubj,напомнил,[]
46791,Пиппин,nsubj,сдался,[]
46938,Пиппин,nsubj,решился,[]
47145,Пиппин,nsubj,усмехнулся,[]
47415,Пиппин,nsubj,догадался,[]
48347,Пиппин,nsubj,знаю,[остановился.–Я]
48416,Пиппин,nsubj,удивился,[]
48608,Пиппин,nsubj,покатился,[]
48794,Пиппин,nsubj,сделал,[]
49165,Пиппин,nsubj,представил,[]
49440,Пиппин,nsubj,признался,[]
51017,Пиппин,nsubj,кивал,[сидевший]
52536,Пиппин,nsubj,взял,[]
53414,Пиппин,nsubj,завопил,[]
54024,Пиппин,nsubj,ответил,"[,]"
54067,Пиппин,nsubj,объяснил,[]
54089,Пиппин,nsubj,упуская,[]
54176,Пиппин,nsubj,заметил,[]
54587,Пиппин,nsubj,воскликнул,"[,]"
54990,Пиппин,nsubj,возразил,[]
56496,Пиппин,nsubj,запротестовал,[]
57457,Пиппин,nsubj,согласился,[]
59138,Пиппин,nsubj,выдержал,[]
61252,Пиппин,nsubj,сказал,[]
61535,Пиппин,nsubj,упал,[шедший]
62253,Пиппин,nsubj,исчез,[]
62315,Пиппин,nsubj,лежал,[]
63537,Пиппин,nsubj,вылетел,[]
66514,Пиппин,nsubj,посапывал,[]
66618,Пиппин,nsubj,подумал,[]
67097,Пиппин,nsubj,глянул,[]
75070,Пиппин,nsubj,удивился,[]
81100,Пиппин,nsubj,отмахнулся,[]
82630,Пиппин,nsubj,привлек,[]
82667,Пиппин,nsubj,изобразил,[Беспечный]
84934,Пиппин,nsubj,оторопел,[]
87163,Пиппин,nsubj,хихикнул,[]
89402,Пиппин,nsubj,рассмеялся,[]
89501,Пиппин,nsubj,сдался,[]
90456,Пиппин,nsubj,зевнул.–Прошу,[]
93185,Пиппин,nsubj,ответил,[]
94956,Пиппин,nsubj,засмеялся,[]
95543,Пиппин,nsubj,восклицал,[]
96504,Пиппин,nsubj,сострил,[]
97267,Пиппин,nsubj,воскликнул,[]
101530,Пиппин,nsubj,ахнул,[]
104885,Перегрин,nsubj,усомнился,[]
106263,Пиппин,nsubj,шел,[]
106595,Пиппин,nsubj,догадался,[]
106702,Пиппин,nsubj,отправился,[]
106773,Пиппин,nsubj,вылетел,[]
106794,Пиппин,nsubj,задыхался,[]
107013,Пиппин,nsubj,оправдывался,[]
107034,Пиппин,nsubj,верил,[вполовину]
109516,Пиппин,nsubj,спотыкались,"[Мерри, Сэм]"
115794,Пиппин,nsubj,закричал,[]
115897,Пиппин,nsubj,пожаловался,[]
115965,Пиппин,nsubj,обнадежил,[]
141559,Пиппин,nsubj,подхватил,[]
141638,Пиппин,nsubj,вскричал,[]
143858,Пиппин,nsubj,запротестовал,[]
147143,Пиппин,nsubj,спросил,[]
147211,Пиппин,nsubj,смутился,[]
148504,Пиппин,nsubj,причитал,[]
150178,Пиппин,nsubj,начал,[]
150292,Пиппин,nsubj,начал,[]
150531,Пиппин,nsubj,пискнул,[]
152279,Пиппин,nsubj,спросил,[]
152331,Перегрин,nsubj,пожалуйте,[достойный]
152369,Пиппин,nsubj,поразился,[]
152485,Пиппин,nsubj,очутились,[Мерри]
154583,Пиппин,nsubj,прошептал,[Сэму]
158644,Пиппин,nsubj,спросил,[]
159108,Пиппин,nsubj,подхватил,[]
161124,Пиппин,nsubj,мог,[]
162249,Пиппин,nsubj,уселся,[уничтоженный]
162441,Пиппин,nsubj,увидел,[]
169730,Пиппин,nsubj,ним,[Мерри]
172145,Пиппин,nsubj,спросил,[]
176861,Пиппин,nsubj,поболтать,[]
178096,Пиппин,nsubj,отличился,[]
184097,Пиппин,nsubj,допытывался,[]
190725,Пиппин,nsubj,спросил,[]
196735,Пиппин,nsubj,замечал,[сидевший]
207779,Пиппин,nsubj,поддержал,[]
208263,Пиппин,nsubj,сдался,[]
208554,Пиппин,nsubj,взволновался,[]
215998,Пиппин,nsubj,отбежал,[]
226046,Пиппин,nsubj,повернулся,[]
226242,Пиппин,nsubj,схватились,[Мерри]
226384,Пиппин,nsubj,помнил,[]
226763,Пиппин,nsubj,притих,[Напуганный]
226830,Пиппин,nsubj,обнаружил,[]
227709,Пиппин,nsubj,перекатился,[осторожненько]
227735,Пиппин,nsubj,разглядел,[]
227962,Пиппин,nsubj,подумал,[]
228000,Пиппин,nsubj,видел,[]
228103,Пиппин,nsubj,подтолкнул,[]
228146,Пиппин,nsubj,соорудил,[]
228242,Пиппин,nsubj,закрыл,[]
228473,Пиппин,nsubj,почувствовал,[]
228510,Пиппин,nsubj,смог,[]
229044,Пиппин,nsubj,ковылял,[]
229227,Пиппин,nsubj,вскочил,[]
229261,Пиппин,nsubj,подумал,[]
229351,Пиппин,nsubj,сдержался,[]
229573,Пиппин,nsubj,догадался,[]
229632,Пиппин,nsubj,открыл,[]
229740,Пиппин,nsubj,сел,[]
231056,Пиппин,nsubj,подумал,[]
231128,Пиппин,nsubj,принялся,[]
231659,Пиппин,nsubj,оказался,[]
231710,Пиппин,nsubj,вспомнил,[]
232159,Пиппин,nsubj,видел,[]
232243,Пиппин,nsubj,приподнялись,[Мерри]
232511,Пиппин,nsubj,задумался,[]
232644,Пиппин,nsubj,ответил,[]
233561,Пиппин,nsubj,рассмеялся,[]
233667,Пиппин,nsubj,вернулся,[]
233932,Пиппин,nsubj,сказал,[]
234059,Пиппин,nsubj,предостерег,[]
234084,Пиппин,nsubj,обменивались,[Мерри]
234375,Пиппин,nsubj,согласился,[]
234977,Пиппин,nsubj,согласился,[]
235065,Пиппин,nsubj,поинтересовался,[]
235130,Пиппин,nsubj,признал,[]
235375,Пиппин,nsubj,вставил,[]
235985,Пиппин,nsubj,отозвался,[]
236233,Пиппин,nsubj,могли,"[потрясенные, Мерри]"
236272,Пиппин,nsubj,пытался,[]
236979,Пиппин,nsubj,предложил,[]
237681,Пиппин,nsubj,поправил,[]
237796,Пиппин,nsubj,вздохнул,[]
237822,Пиппин,nsubj,вздохнул,[]
238375,Пиппин,nsubj,подал,[осмелев]
238653,Пиппин,nsubj,понял,[]
240111,Пиппин,nsubj,увидели,[Мерри]
240318,Пиппин,nsubj,ощутили,[Мерри]
240531,Пиппин,nsubj,ощутили,[Мерри]
240937,Пиппин,nsubj,переспросил,[удивленный]
241542,Пиппин,nsubj,вмешался,[]
242331,Пиппин,nsubj,подхватил,[]
242775,Пиппин,nsubj,удивился,[]
242882,Пиппин,nsubj,огорчился,[]
245000,Пиппин,nsubj,попробовал,[]
245780,Пиппин,nsubj,попробовал,[]
246580,Пиппин,nsubj,мог,[]
246630,Пиппин,nsubj,начал,[]
246765,Пиппин,nsubj,мог,[]
