,Text,Dep,Head,Child
10984,Сэм,nsubj,знает,"[сынишка, -, то]"
11327,Сэм,nsubj,говорит,[Наш]
22611,Сэм,nsubj,сидел,[Гэмги]
22687,Сэм,nsubj,оскорбился,[]
22772,Сэм,nsubj,подтвердил,[]
23000,Сэм,nsubj,сдавался,[]
23074,Сэм,nsubj,помахал,[]
23172,Сэм,nsubj,закончил,[]
23244,Сэм,nsubj,протянул,[]
23433,Сэм,nsubj,замолчал,[]
23526,Сэм,nsubj,отправился,[]
23679,Сэм,nsubj,брел,[]
24341,Сэм,nsubj,подстригал,"[–, это, Гэмги]"
26094,Сэм,nsubj,подобрался,"[–, Гэмги]"
34180,Сэм,nsubj,пропел,[]
34312,Сэм,nsubj,заблажил,[]
34410,Сэм,nsubj,пискнул,[]
34785,Сэм,nsubj,завопил,[]
37134,Сэм,nsubj,отправляется,[]
37231,Сэм,nsubj,исчез,[]
37452,Сэм,nsubj,компанию,"[мой, ним]"
37776,Сэм,nsubj,припустил,[]
37903,Сэм,nsubj,подоспел,[и]
37942,Сэм,nsubj,мог,[]
38624,Сэм,nsubj,определил,[]
38658,Сэм,nsubj,знал,[]
39114,Сэм,nsubj,успели,[Пиппин]
39430,Сэм,nsubj,стоял,[]
39912,Сэм,nsubj,остановился,[]
39957,Сэм,nsubj,сказал,[]
40603,Сэм,nsubj,вмешался,[]
41008,Сэм,nsubj,растерялся,[]
41717,Сэм,nsubj,скорчились,[Пиппин]
42068,Сэм,nsubj,волновался,[]
42803,Сэм,nsubj,лишился,[]
43176,Сэм,nsubj,лишился,[]
43390,Сэм,nsubj,держался,[]
44008,Сэм,nsubj,смог,[]
44208,Сэм,nsubj,отказался,[]
44220,Сэм,nsubj,свернулся,[]
45535,Сэм,nsubj,сидел,[]
45589,Сэм,nsubj,позволит,[]
45996,Сэм,nsubj,него,"[смотрит.–Так, ,]"
46084,Сэм,nsubj,согласился,[]
46227,Сэм,nsubj,проговорил,[]
46303,Сэм,nsubj,сказал,"[Прежний, Гэмги]"
46314,Сэм,nsubj,тот,[]
46902,Сэм,nsubj,вздохнул,[]
47147,Сэм,nsubj,оглянулся,[Гэмги]
47730,Сэм,nsubj,пристроились,[Пиппин]
48828,Сэм,nsubj,оказался,[вмиг]
49305,Сэм,nsubj,отхлебнул,[]
51027,Сэм,nsubj,таращился,[]
51136,Сэм,nsubj,забеспокоился,[]
52444,Сэм,nsubj,рекой,[только]
52547,Сэм,nsubj,обернулся,[]
54110,Сэм,nsubj,кивал,[]
55018,Сэм,nsubj,помощник,[]
55752,Сэм,nsubj,встал,[]
55891,Сэм,nsubj,потупился,[]
55981,Сэм,nsubj,посмотрел,[]
57841,Сэм,nsubj,стряпает,[]
61618,Сэм,nsubj,зевал,[Стоявший]
61933,Сэм,nsubj,сел,[]
62086,Сэм,nsubj,бросился,[]
62123,Сэм,nsubj,схватил,[]
62203,Сэм,nsubj,поверил,[]
62432,Сэм,nsubj,спросил,[]
62481,Сэм,nsubj,воскликнул,[]
62537,Сэм,nsubj,бросил,[]
62774,Сэм,nsubj,пнул,[]
63064,Сэм,nsubj,стояли,[]
66865,Сэм,nsubj,слышал,[мог]
73917,Сэм,nsubj,лежал,[]
74969,Сэм,nsubj,удивился,[]
75661,Сэм,nsubj,извлекли,"[,, Пиппин]"
77635,Сэм,nsubj,высказал,[]
79680,Сэм,nsubj,поглядел,[]
