,Text,Dep,Head,Child
89015,настоящий,amod,Бродяга,[]
89589,настоящим,amod,Бродягой,[]
89631,настоящего,amod,Бродягу,[]
89708,настоящий,amod,Бродяга,[]
114514,остальные,amod,Арагорн,"[и, все, ветками]"
160573,суровый,amod,Арагорн,"[,]"
167881,разъяренных,amod,Арагорна,[]
176684,Остальное,amod,Бродяга,[]
189946,сам,amod,Арагорн,[]
201445,другой,amod,Арагорн,[]
201554,другой,amod,Арагорн,[]
263049,самый,amod,Арагорн,[]
345546,самый,amod,Арагорн,[]
418349,высокородный,amod,Арагорн,"[,]"
434589,Серый,amod,Бродяга,[]
434598,Серый,amod,Бродяга,[]
445942,сам,amod,Арагорн,[]
445945,высокий,amod,Арагорн,"[,]"
499500,безмолвный,amod,Арагорн,"[,, суровый]"
510577,коленопреклоненному,amod,Арагорну,[]
522389,подозрительным,amod,Бродягой,[]
