,Text,Dep,Head,Child
66,сам,amod,Бильбо,[]
7484,рассказанную,amod,Бильбо,[]
7663,рассказанную,amod,Бильбо,[]
8607,выполненные,amod,Бильбо,[]
11960,старому,amod,Бильбо,[]
18271,дорогой,amod,Бильбо,[]
19826,самим,amod,Бильбо,[]
25475,дорогого,amod,Бильбо,[]
39549,старого,amod,Бильбо,[]
114996,Дорогой,amod,Бильбо,[]
116966,уважаемого,amod,Бильбо,[]
140633,дорогой,amod,Бильбо,[]
520816,дорогой,amod,Бильбо,[]
521143,спящего,amod,Бильбо,[]
543080,составленная,amod,Бильбо,[]
543082,Бэггинсомпо,amod,Бильбо,[]
543682,дремлющий,amod,Бильбо,[]
