,Text,Dep,Head,Child
9376,юный,amod,Фродо,[]
9794,самого,amod,Фродо,[]
21485,молодого,amod,Фродо,[]
21894,Сам,amod,Фродо,[же]
32136,дорогой,amod,Фродо,[]
34999,ктому,amod,Фродо,[же]
36831,Сам,amod,Фродо,[]
42249,потрясенный,amod,Фродо,[]
45887,сам,amod,Фродо,[]
49569,юный,amod,Фродо,[]
53868,юного,amod,Фродо,[]
96514,прежний,amod,Фродо,[]
97432,усталые,amod,Фродо,[]
110551,настигая,amod,Фродо,"[,, почти]"
126786,потрясенный,amod,Фродо,[]
141777,бедных,amod,Фродо,[]
176445,встревоженный,amod,Фродо,[]
185006,первый,amod,Фродо,[]
339518,спящего,amod,Фродо,[]
341105,спящего,amod,Фродо,[]
361009,упомянутый,amod,Фродо,[]
361030,упомянутым,amod,Фродо,[]
377812,другой,amod,Фродо,[]
378554,сам,amod,Фродо,[]
382732,дорогой,amod,Фродо,[]
382867,лежащего,amod,Фродо,[]
521252,Дорогой,amod,Фродо,[]
521514,самого,amod,Фродо,[]
521532,самого,amod,Фродо,[]
