,Text,Dep,Head,Child
69691,самому,amod,Гэндальфу,[]
88989,Спешу!Твой,amod,Гэндальф,[]
151141,большой,amod,Гэндальф,"[,, с, неохотой]"
169087,пазухой,amod,Гэндальф,"[него, за, раз!Догадался]"
237784,достойнейшего,amod,Гэндальфа,[]
255031,дорогой,amod,Гэндальф,[]
270544,досточтимый,amod,Гэндальф,[]
396797,сам,amod,Гэндальф,[]
397784,широкий,amod,Гэндальф,"[на, вдающийся]"
424274,сам,amod,Гэндальф,[]
425953,сам,amod,Гэндальф,[]
451836,сам,amod,Гэндальф,[и]
468021,достопочтенный,amod,Гэндальф,"[,]"
