,Text,Dep,Head,Child
145320,гном,amod,Гимли,[]
150185,крепкий,amod,Гимли,"[,, гномы]"
150299,крепкий,amod,Гимли,"[,, гномы]"
164076,молчавший,amod,Гимли,[]
178336,гному,amod,Гимли,[]
180100,гному,amod,Гимли,[]
193966,гном,amod,Гимли,[]
254223,добрый,amod,Гимли,[]
262493,гном,amod,Гимли,[]
276651,достойному,amod,Гимли,[]
278760,гном,amod,Гимли,[]
287953,достойный,amod,Гимли,[]
288667,Дорогой,amod,Гимли,[–]
351255,Гному,amod,Гимли,[]
409558,испуганный,amod,Гимли,"[,]"
409761,достойный,amod,Гимли,[]
513980,достойный,amod,Гимли,[]
