,Text,Dep,Head,Child
6383,самый,amod,Голлум,[]
29872,сам,amod,Голлум,[]
132168,сам,amod,Голлум,[]
320858,Новый,amod,Голлум,[]
323218,голодным,amod,Голлумом,"[очень, вольным]"
326070,сам,amod,Голлум,[]
329090,Великий,amod,Голлум,[]
329093,Первый,amod,Голлум,[]
329113,Преславный,amod,Голлум,[Достохвальный]
329299,голодного,amod,Голлума,[вечно]
329506,доброго,amod,Смеагола,[]
331635,несчастному,amod,Смеаголу,[]
333084,несчастного,amod,Смеагольчика,[]
336910,обрадованный,amod,Голлум,[]
340974,добрым,amod,Смеагольчиком,[хорошим]
341578,второго,amod,Голлума,[]
343871,треклятый,amod,Голлум,[]
359340,бедного,amod,Смеагола,[несчастного]
359495,несчастному,amod,Смеаголу,[]
359667,сам,amod,Голлум,[]
361285,вышеназванного,amod,Смеагола,[]
374126,несчастному,amod,Смеаголу,"[,]"
379452,бедного,amod,Смеагола,[несчастного]
