,Text,Dep,Head,Child
8384,достойнейшего,amod,Сэмуайза,[]
11378,всезнающего,amod,Сэма,[]
34535,перепуганного,amod,Сэма,[]
44472,верного,amod,Сэма,"[и, моего]"
46302,Прежний,amod,Сэм,[]
62627,первой,amod,Сэмом,[же]
62629,высеченной,amod,Сэмом,[]
148234,толкая,amod,Сэма,"[,]"
149823,запыхавшийся,amod,Сэм,[]
163532,притихший,amod,Сэм,[]
163584,притихший,amod,Сэм,[]
183898,пунцовый,amod,Сэм,"[,, совершенно, ,]"
209359,мокрый,amod,Сэм,"[,]"
210198,слугой,amod,Сэмуайзом,"[со, своим]"
315966,самого,amod,Сэма,[]
316097,самого,amod,Сэма,[]
319815,Расторопный,amod,Сэм,[]
321456,увиденного,amod,Сэм,[от]
329486,Славный,amod,Сэм,[добрый]
348758,достойный,amod,Сэмуайз,[]
353227,достойный,amod,Сэмуайз,[]
356671,достойный,amod,Сэмуайз,"[,]"
356925,Чуткий,amod,Сэм,[]
379773,Бедный,amod,Сэм,[]
389794,слугой,amod,Сэмуайзом,"[со, своим]"
477723,Дорогой,amod,Сэм,[]
478983,удивленный,amod,Сэм,[]
483124,ошеломленный,amod,Сэм,[]
484719,неунывающего,amod,Сэма,[]
490018,Несчастный,amod,Сэм,[]
490238,близкий,amod,Сэм,"[,, отчаянию, ,]"
493150,дорогой,amod,Сэм,"[,]"
541838,самому,amod,Сэму,"[,, сколько, сыскать]"
543709,достойный,amod,Сэмуайз,"[,]"
